job_id,job_title,role_type,salary_min,salary_max,salary_avg,salary_range,rating,company_name,city,state,industry,sector,company_size,revenue,founded,type_of_ownership,easy_apply,has_sql,has_python,has_excel,has_tableau,has_powerbi,seniority
1,"Business Analyst - Clinical & Logistics Platform","Business Analyst",56000,102000,79000,46000,3.9,"Memorial Sloan-Kettering 3.9","New York",NY,"Health Care Services & Hospitals","Health Care","10000+ employees","$2 to $5 billion (USD)",1884,"Nonprofit Organization",-1,0,0,1,0,0,Mid-Level
2,"Senior Data Analyst","Data Analyst",57000,104000,80500,47000,3.9,"Life360 3.9","San Francisco",CA,Internet,"Information Technology","51 to 200 employees","Unknown / Non-Applicable",2008,"Company - Public",True,1,1,0,1,0,Senior
3,"Business System Analyst","Business Analyst",43000,79000,61000,36000,5.0,"Staffigo Technical Services, LLC 5.0",Philadelphia,PA,"IT Services","Information Technology","51 to 200 employees","$50 to $100 million (USD)",2008,"Company - Private",-1,1,0,0,0,0,Mid-Level
4,"Business Analyst","Business Analyst",56000,102000,79000,46000,3.8,"Paine Schwartz Partners 3.8","New York",NY,"Venture Capital & Private Equity",Finance,"1 to 50 employees","Unknown / Non-Applicable",-1,"Company - Private",True,0,0,1,0,0,Mid-Level
5,"Data Analyst","Business Analyst",56000,102000,79000,46000,3.6,"Asembia 3.6","Florham Park",NJ,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","501 to 1000 employees","$5 to $10 million (USD)",2004,"Company - Private",-1,1,0,1,0,0,Mid-Level
6,"Information Security Analyst, Incident Response","Business Analyst",56000,102000,79000,46000,3.6,"BD 3.6","Franklin Lakes",NJ,"Health Care Products Manufacturing",Manufacturing,"10000+ employees","$10+ billion (USD)",1897,"Company - Public",-1,0,0,0,0,0,Mid-Level
7,"Analyst - FP&A Global Revenue","Business Analyst",56000,102000,79000,46000,3.4,"Rubicon Project 3.4","New York",NY,Internet,"Information Technology","201 to 500 employees","$100 to $500 million (USD)",2007,"Company - Public",True,0,0,1,1,0,Mid-Level
8,"Business Analyst (ERP)","Business Analyst",43000,79000,61000,36000,NULL,SoluStaff,Radnor,PA,"IT Services","Information Technology","1 to 50 employees","$1 to $5 million (USD)",-1,"Company - Private",-1,1,0,1,0,0,Mid-Level
9,"Data Analyst","Business Analyst",56000,102000,79000,46000,3.4,"Sapphire Digital 3.4",Lyndhurst,NJ,Internet,"Information Technology","201 to 500 employees","Unknown / Non-Applicable",2019,"Company - Private",-1,1,1,1,0,1,Mid-Level
10,"Investment Analyst - Graduate","Business Analyst",56000,102000,79000,46000,3.8,"Swiss Re 3.8","New York",NY,"Insurance Agencies & Brokerages",Insurance,"10000+ employees","$10+ billion (USD)",1863,"Company - Public",-1,0,0,1,0,0,Mid-Level
11,"IT Business Process Analysis","Business Analyst",56000,102000,79000,46000,3.8,"Bristol-Myers Squibb 3.8","Jersey City",NJ,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10000+ employees","$10+ billion (USD)",1858,"Company - Public",-1,0,0,1,0,0,Mid-Level
12,"Tolling Business Analyst","Business Analyst",56000,102000,79000,46000,4.2,"Gannett Fleming 4.2","New York",NY,"Architectural & Engineering Services","Business Services","1001 to 5000 employees","$100 to $500 million (USD)",1915,"Company - Private",-1,0,0,1,0,0,Mid-Level
13,"Product Mgmt Lead Analyst","Business Analyst",43000,79000,61000,36000,3.7,"Citi 3.7",Wilmington,DE,"Investment Banking & Asset Management",Finance,"10000+ employees","$10+ billion (USD)",1812,"Company - Public",-1,0,0,1,0,0,Senior
